30.04.2017 2124:10:28-722:
alpha,1,2,3,4,5,6,7
468,305,506,556,556,556,556,556
469,305,506,556,556,556,556,556
470,305,506,556,556,556,556,556
471,305,506,556,556,556,556,556
472,305,506,556,556,556,556,556
473,305,506,556,556,556,556,556
474,305,506,556,556,556,556,556
475,305,506,556,556,556,556,556
476,305,506,556,556,556,556,556
477,305,506,556,556,556,556,556
478,305,506,556,556,556,556,556
479,305,506,556,556,556,556,556
480,305,506,556,556,556,556,556
481,305,506,556,556,556,556,556
482,305,506,556,556,556,556,556
483,305,506,556,556,556,556,556
484,305,506,556,556,556,556,556
485,305,506,556,556,556,556,556
486,305,506,556,556,556,556,556
487,305,506,556,556,556,556,556
488,305,506,556,556,556,556,556
489,305,506,556,556,556,556,556
490,305,506,556,556,556,556,556
491,305,506,556,556,556,556,556
492,305,506,556,556,556,556,556
493,305,506,556,556,556,556,556
494,305,506,556,556,556,556,556
495,305,506,556,556,556,556,556
496,305,506,556,556,556,556,556
497,305,506,556,556,556,556,556
498,305,506,556,556,556,556,556
499,305,506,556,556,556,556,556
500,305,506,556,556,556,556,556
501,305,506,556,556,556,556,556
502,305,506,556,556,556,556,556
503,305,506,556,556,556,556,556
504,305,506,556,556,556,556,556
505,305,506,556,556,556,556,556
506,305,506,556,556,556,556,556
507,305,506,556,556,556,556,556
508,305,506,556,556,556,556,556
509,305,506,556,556,556,556,556
510,305,506,556,556,556,556,556
511,305,506,556,556,556,556,556
512,305,506,556,556,556,556,556
513,305,506,556,556,556,556,556
514,305,506,556,556,556,556,556
515,305,506,556,556,556,556,556
516,305,506,556,556,556,556,556
517,305,506,556,556,556,556,556
518,305,506,556,556,556,556,556
519,305,506,556,556,556,556,556
520,305,506,556,556,556,556,556
521,305,506,556,556,556,556,556
522,305,506,556,556,556,556,556
523,305,506,556,556,556,556,556
524,305,506,556,556,556,556,556
525,305,506,556,556,556,556,556
526,305,506,556,556,556,556,556
527,305,506,556,556,556,556,556
528,305,506,556,556,556,556,556
529,305,506,556,556,556,556,556
530,305,506,556,556,556,556,556
531,305,506,556,556,556,556,556
532,305,506,556,556,556,556,556
533,305,506,556,556,556,556,556
534,305,506,556,556,556,556,556
535,305,506,556,556,585,585,585
536,305,506,556,556,585,585,585
537,305,506,556,556,585,585,585
538,305,506,556,556,585,585,585
539,305,506,556,556,585,585,585
540,305,506,556,556,585,585,585
541,305,506,556,556,585,585,585
542,305,506,556,556,585,585,585
543,305,506,556,556,585,585,585
544,305,506,556,556,585,585,585
545,305,506,556,556,585,585,585
546,305,506,556,556,585,585,585
547,305,506,556,556,585,585,585
548,305,506,556,556,585,585,585
549,305,506,556,556,585,585,585
550,305,506,556,556,585,585,585
551,305,506,556,556,585,585,585
552,305,506,556,556,585,585,585
553,305,506,556,556,585,585,585
554,305,506,556,556,585,585,585
